Issue # from Github,Issue URL,Issue title from Github,Name of org in Record ID,Record ID,Related ID,Name of org in Related ID,Relationship of Related ID to Record ID,Current location of Related ID
10349,https://github.com/ror-community/ror-updates/issues/10349,"Add a new organization to ROR: 
 
Inria Lyon Centre",Inria Lyon Centre,,https://ror.org/02kvxyf05,French Institute for Research in Computer Science and Automation,Parent,Production
10349,https://github.com/ror-community/ror-updates/issues/10349,"Add a new organization to ROR: 
 
Inria Lyon Centre",French Institute for Research in Computer Science and Automation,https://ror.org/02kvxyf05,,Inria Lyon Centre,Child,Release
10354,https://github.com/ror-community/ror-updates/issues/10354,"Add a new organization to ROR: 
 
Neuroscience et Psychiatrie Translationnelle de Strasbourg",Neuroscience et Psychiatrie Translationnelle de Strasbourg,,https://ror.org/00pg6eq24,University of Strasbourg,Parent,Production
10354,https://github.com/ror-community/ror-updates/issues/10354,"Add a new organization to ROR: 
 
Neuroscience et Psychiatrie Translationnelle de Strasbourg",University of Strasbourg,https://ror.org/00pg6eq24,,Neuroscience et Psychiatrie Translationnelle de Strasbourg,Child,Release
10354,https://github.com/ror-community/ror-updates/issues/10354,"Add a new organization to ROR: 
 
Neuroscience et Psychiatrie Translationnelle de Strasbourg",Neuroscience et Psychiatrie Translationnelle de Strasbourg,,https://ror.org/02vjkv261,Inserm,Parent,Production
10354,https://github.com/ror-community/ror-updates/issues/10354,"Add a new organization to ROR: 
 
Neuroscience et Psychiatrie Translationnelle de Strasbourg",Inserm,https://ror.org/02vjkv261,,Neuroscience et Psychiatrie Translationnelle de Strasbourg,Child,Release
10354,https://github.com/ror-community/ror-updates/issues/10354,"Add a new organization to ROR: 
 
Neuroscience et Psychiatrie Translationnelle de Strasbourg",Neuroscience et Psychiatrie Translationnelle de Strasbourg,,https://ror.org/02zwf7d57,Neuropsychologie Cognitive et Physiopathologie de la Schizophrénie,Predecessor,Production
10354,https://github.com/ror-community/ror-updates/issues/10354,"Add a new organization to ROR: 
 
Neuroscience et Psychiatrie Translationnelle de Strasbourg",Neuropsychologie Cognitive et Physiopathologie de la Schizophrénie,https://ror.org/02zwf7d57,,Neuroscience et Psychiatrie Translationnelle de Strasbourg,Successor,Release
10354,https://github.com/ror-community/ror-updates/issues/10354,"Add a new organization to ROR: 
 
Neuroscience et Psychiatrie Translationnelle de Strasbourg",Neuroscience et Psychiatrie Translationnelle de Strasbourg,,https://ror.org/057916623,Mécanismes Centraux et Périphériques de la Neurodégénérescence,Predecessor,Production
10354,https://github.com/ror-community/ror-updates/issues/10354,"Add a new organization to ROR: 
 
Neuroscience et Psychiatrie Translationnelle de Strasbourg",Mécanismes Centraux et Périphériques de la Neurodégénérescence,https://ror.org/057916623,,Neuroscience et Psychiatrie Translationnelle de Strasbourg,Successor,Release
10355,https://github.com/ror-community/ror-updates/issues/10355,"Add a new organization to ROR: 
 
OpenTopography",OpenTopography,,https://ror.org/04mg3nk07,San Diego Supercomputer Center,Parent,Production
10355,https://github.com/ror-community/ror-updates/issues/10355,"Add a new organization to ROR: 
 
OpenTopography",San Diego Supercomputer Center,https://ror.org/04mg3nk07,,OpenTopography,Child,Release
6956,https://github.com/ror-community/ror-updates/issues/6956,"Add a new organization to ROR: 
 
Indiana University School of Medicine",Indiana University School of Medicine,,https://ror.org/01kg8sb98,Indiana University,Parent,Production
6956,https://github.com/ror-community/ror-updates/issues/6956,"Add a new organization to ROR: 
 
Indiana University School of Medicine",Indiana University,https://ror.org/01kg8sb98,,Indiana University School of Medicine,Child,Release
6956,https://github.com/ror-community/ror-updates/issues/6956,"Add a new organization to ROR: 
 
Indiana University School of Medicine",Indiana University School of Medicine,,https://ror.org/01aaptx40,Indiana University Health,Related,Production
6956,https://github.com/ror-community/ror-updates/issues/6956,"Add a new organization to ROR: 
 
Indiana University School of Medicine",Indiana University Health,https://ror.org/01aaptx40,,Indiana University School of Medicine,Related,Release
10413,https://github.com/ror-community/ror-updates/issues/10413,"Add a new organization to ROR: 
 
SANT Herbarium",SANT Herbarium,,https://ror.org/030eybx10,Universidade de Santiago de Compostela,Parent,Production
10413,https://github.com/ror-community/ror-updates/issues/10413,"Add a new organization to ROR: 
 
SANT Herbarium",Universidade de Santiago de Compostela,https://ror.org/030eybx10,,SANT Herbarium,Child,Release
10425,https://github.com/ror-community/ror-updates/issues/10425,"Add a new organization to ROR: 
 
Wildlife Conservation Society Vietnam",Wildlife Conservation Society Vietnam,,https://ror.org/01xnsst08,Wildlife Conservation Society,Parent,Production
10425,https://github.com/ror-community/ror-updates/issues/10425,"Add a new organization to ROR: 
 
Wildlife Conservation Society Vietnam",Wildlife Conservation Society,https://ror.org/01xnsst08,,Wildlife Conservation Society Vietnam,Child,Release
10426,https://github.com/ror-community/ror-updates/issues/10426,Add a new organization to ROR - Institute for Marine and Antarctic Studies,Institute for Marine and Antarctic Studies,,https://ror.org/01nfmeh72,University of Tasmania,Parent,Release
10426,https://github.com/ror-community/ror-updates/issues/10426,Add a new organization to ROR - Institute for Marine and Antarctic Studies,University of Tasmania,https://ror.org/01nfmeh72,,Institute for Marine and Antarctic Studies,Child,Release
10431,https://github.com/ror-community/ror-updates/issues/10431,Add a new organization to ROR - Tasmanian Institute of Agriculture,Tasmanian Institute of Agriculture,,https://ror.org/01nfmeh72,University of Tasmania,Parent,Release
10431,https://github.com/ror-community/ror-updates/issues/10431,Add a new organization to ROR - Tasmanian Institute of Agriculture,University of Tasmania,https://ror.org/01nfmeh72,,Tasmanian Institute of Agriculture,Child,Release
10432,https://github.com/ror-community/ror-updates/issues/10432,Add a new organization to ROR - Menzies Institute for Medical Research,Menzies Institute for Medical Research,,https://ror.org/01nfmeh72,University of Tasmania,Parent,Release
10432,https://github.com/ror-community/ror-updates/issues/10432,Add a new organization to ROR - Menzies Institute for Medical Research,University of Tasmania,https://ror.org/01nfmeh72,,Menzies Institute for Medical Research,Child,Release
10430,https://github.com/ror-community/ror-updates/issues/10430,Modify the information in an existing ROR record: BD Biosciences (United States) - https://ror.org/02h9td068,BD Biosciences (United States),https://ror.org/02h9td068,https://ror.org/048vrgr14,Becton Dickinson (United States),Parent,Production
10430,https://github.com/ror-community/ror-updates/issues/10430,Modify the information in an existing ROR record: BD Biosciences (United States) - https://ror.org/02h9td068,Becton Dickinson (United States),https://ror.org/048vrgr14,https://ror.org/02h9td068,BD Biosciences (United States),Child,Release
10434,https://github.com/ror-community/ror-updates/issues/10434,Modify the information in an existing ROR record: Woolcock Institute of Medical Research https://ror.org/04hy0x592,Woolcock Institute of Medical Research,https://ror.org/04hy0x592,https://ror.org/0384j8v12,University of Sydney,Delete,Production
10434,https://github.com/ror-community/ror-updates/issues/10434,Modify the information in an existing ROR record: Woolcock Institute of Medical Research https://ror.org/04hy0x592,University of Sydney,https://ror.org/0384j8v12,https://ror.org/04hy0x592,Woolcock Institute of Medical Research,Error,Error
10434,https://github.com/ror-community/ror-updates/issues/10434,Modify the information in an existing ROR record: Woolcock Institute of Medical Research https://ror.org/04hy0x592,Woolcock Institute of Medical Research,https://ror.org/04hy0x592,https://ror.org/01sf06y89,Macquarie University,Parent,Production
10434,https://github.com/ror-community/ror-updates/issues/10434,Modify the information in an existing ROR record: Woolcock Institute of Medical Research https://ror.org/04hy0x592,Macquarie University,https://ror.org/01sf06y89,https://ror.org/04hy0x592,Woolcock Institute of Medical Research,Child,Release
10445,https://github.com/ror-community/ror-updates/issues/10445,Modify the information in an existing ROR record: InnovaWood - https://ror.org/00bjskz46,InnovaWood,https://ror.org/00bjskz46,https://ror.org/019gta678,InnovaWood,Successor,Production
10446,https://github.com/ror-community/ror-updates/issues/10446,Add a new organization to ROR - Government of Punjab,Government of Punjab,,https://ror.org/01qbsyz51,Ayub Agriculture Research Institute,Child,Release
10446,https://github.com/ror-community/ror-updates/issues/10446,Add a new organization to ROR - Government of Punjab,Ayub Agriculture Research Institute,https://ror.org/01qbsyz51,,Government of Punjab,Parent,Release
10447,https://github.com/ror-community/ror-updates/issues/10447,Modify the information in an existing ROR record: Ayub Agriculture Research Institute - https://ror.org/01qbsyz51,Ayub Agriculture Research Institute,https://ror.org/01qbsyz51,https://ror.org/054d77k59,University of Agriculture Faisalabad,Related,Production
10447,https://github.com/ror-community/ror-updates/issues/10447,Modify the information in an existing ROR record: Ayub Agriculture Research Institute - https://ror.org/01qbsyz51,University of Agriculture Faisalabad,https://ror.org/054d77k59,https://ror.org/01qbsyz51,Ayub Agriculture Research Institute,Related,Release
5485,https://github.com/ror-community/ror-updates/issues/5485,Add a new organization to ROR: National Coordination Office,National Coordination Office,,https://ror.org/021nxhr62,National Science Foundation,Parent,Production
